CodeName,mode,embeddings,layer,lr,optimizer,Batch,Nesterov,Momentum,Weightdecay,With Scheduler,,embedding,CodeName
0,,,10,0.1,SGD,16,TRUE,0.9,0.0001,NO,v,100,0
1,,,5,0.01,Adagrad,1,,,0.0001,NO,v,100,1
2,,,5,0.01,Adagrad,1,,,0.0001,YES,v,100,2
3,withIntermediate,,5,0.1,Adagrad,1,,,0.0001,NO,,,3
4,,,5,0.01,Adagrad,16,,,0.0001,NO,v,,4
5,,,5,0.1,Adagrad,16,,,0.0001,NO,v,,5
6,,,5,0.1,Adagrad,16,,,0.0001,NO,v,,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10,None,,5,0.1,Adagrad,64,,,0.0001,,,,
11,None,,5,0.1,Adagrad,48,,,0.0001,,,,
12,None,,5,0.1,Adagrad,32,,,0.0001,,,,
13,None,,5,0.1,Adagrad,24,,,0.0001,,,,
14,None,,5,0.1,Adagrad,16,,,0.0001,,,,
15,None,,5,0.1,Adagrad,8,,,0.0001,,,,
16,None,,5,0.1,Adagrad,6,,,0.0001,,,,
17,None,,5,0.1,Adagrad,4,,,0.0001,,,,
18,None,,5,0.1,Adagrad,3,,,0.0001,,,,
19,None,,5,0.1,Adagrad,1,,,0.0001,,,,
,,,,,,,,,,,,,
20,None,Word & tag,5,0.1,Adagrad,64,,,0.0001,,,,
21,,,5,0.1,Adagrad,48,,,0.0001,,,,
22,,,5,0.1,Adagrad,32,,,0.0001,,,,
23,,,5,0.1,Adagrad,24,,,0.0001,,,,
24,,,5,0.1,Adagrad,16,,,0.0001,,,,
25,,,,0.1,Adagrad,8,,,0.0001,,,,
26,,,,0.1,Adagrad,6,,,0.0001,,,,
27,,,,0.1,Adagrad,4,,,0.0001,,,,
28,,,,0.1,Adagrad,3,,,0.0001,,,,
29,,,,0.1,Adagrad,1,,,0.0001,,,,
